Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,746,1,Mar 30,CHC,,MIL,W4-0,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.250,.000,.250,4,.67,-0.059,.68,-0.04%,-0.72,2.00,3.00,CF
2,747,2,Apr 1,CHC,,MIL,L1-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.000,.125,.000,.125,4,1.97,-0.366,2.08,-0.23%,-1.91,0.00,0.00,CF
3,748,3,Apr 2,CHC,,MIL,L5-9,CG,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.000,.083,.000,.083,6,.92,-0.085,.91,-0.05%,-0.79,2.00,3.50,CF
4,749,4,Apr 3,CHC,@,CIN,L6-7,CG,5,4,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.067,.176,.267,.443,4,2.00,0.053,1.87,0.03%,1.15,20.00,28.70,CF
5,750,5,Apr 4,CHC,@,CIN,W12-5,CG,6,5,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.200,.304,.350,.654,4,1.44,-0.035,1.30,-0.02%,1.71,15.00,18.70,CF
6,751,6,Apr 7,CHC,,TEX,W2-0,CG,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.217,.308,.348,.656,4,1.04,0.068,.90,0.04%,0.31,5.00,6.50,CF
7,752,7,Apr 8,CHC,,TEX,W10-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.185,.267,.296,.563,7,.38,0.005,.35,0.00%,-0.40,5.00,6.00,CF
8,753,8,Apr 9,CHC,,TEX,L2-8,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.167,.265,.267,.531,4,.74,-0.007,.73,0.00%,-0.32,4.00,6.20,CF
9,754,9,Apr 10,CHC,,SEA,W3-2,CG(10),4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.176,.263,.294,.557,4,.90,0.024,.80,0.01%,0.02,9.00,12.70,CF
10,755,10,Apr 11,CHC,,SEA,W14-9,CG,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.279,.308,.587,5,.62,-0.025,.60,-0.01%,-0.64,10.00,12.40,CF
11,756,11,Apr 12,CHC,,SEA,L2-5,CG,4,3,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,0,.238,.298,.405,.703,4,1.09,0.066,1.08,0.04%,1.24,19.00,25.20,CF
12,757,12,Apr 14,CHC,@,LAD,W8-2,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.239,.308,.413,.721,5,.78,-0.008,.77,-0.01%,-0.39,9.00,12.20,CF
13,758,13,Apr 15,CHC,@,LAD,L1-2,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.245,.321,.408,.730,5,.95,0.064,.99,0.04%,0.53,10.00,12.00,CF
14,759,14,Apr 16,CHC,@,LAD,W3-2,CG,4,4,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,.245,.317,.453,.769,7,1.04,0.146,1.04,0.09%,0.96,21.00,27.90,CF
15,760,15,Apr 17,CHC,@,OAK,W10-1,CG,5,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.310,.369,.517,.886,7,.26,0.063,.26,0.04%,1.03,19.00,21.20,CF
16,761,16,Apr 18,CHC,@,OAK,W4-0,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.302,.357,.492,.849,6,1.54,-0.027,1.56,-0.02%,-0.54,7.00,9.70,CF
17,762,17,Apr 19,CHC,@,OAK,W12-2,CG,5,4,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.284,.347,.463,.809,4,.90,0.022,.93,0.01%,-0.04,8.00,12.90,CF
18,763,18,Apr 20,CHC,,LAD,L2-6,CG,4,2,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,.290,.367,.507,.874,5,1.65,0.200,1.82,0.13%,1.72,18.00,24.70,CF
19,764,19,Apr 21,CHC,,LAD,W13-0,CG,5,4,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.301,.381,.562,.943,6,.22,0.070,.24,0.05%,1.04,23.00,30.90,CF
20,765,20,Apr 22,CHC,,LAD,L4-9,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.289,.375,.539,.914,5,1.81,-0.095,1.97,-0.06%,-0.94,7.00,9.00,CF
21,766,21,Apr 23,CHC,,LAD,L3-7,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.380,.550,.930,3,1.14,0.060,1.26,0.04%,0.66,12.00,15.70,CF
22,767,25 (3),Apr 28,CHC,@,MIA,L2-3,CG,4,4,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,.298,.375,.560,.935,6,1.19,0.015,1.28,0.01%,-0.16,10.00,12.20,CF
23,768,26,Apr 29,CHC,@,MIA,L6-7,CG,5,4,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,.295,.376,.580,.956,5,1.72,-0.105,1.82,-0.07%,0.01,18.00,24.90,CF
24,769,27,Apr 30,CHC,@,MIA,L3-4,CG,4,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,.297,.371,.604,.976,5,1.40,0.065,1.40,0.04%,0.32,16.00,22.20,CF
