Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,567,1,Mar 30,LAA,@,OAK,L1-2,CG,4,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.333,.500,.333,.833,3,1.04,0.047,1.06,0.03%,0.47,5.00,6.00,DH P
2,568,2,Apr 1,LAA,@,OAK,W13-1,CG,5,5,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.375,.444,.375,.819,3,.37,0.043,.34,0.02%,1.30,12.00,16.20,DH
3,569,3,Apr 2,LAA,@,OAK,W6-0,GS-9,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.333,.385,.583,.968,3,.92,-0.072,.90,-0.04%,-0.57,14.00,18.70,DH
4,570,4,Apr 3,LAA,@,SEA,W7-3,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,.294,.333,.647,.980,3,1.30,0.069,1.39,0.05%,0.08,16.00,22.20,DH
5,571,5,Apr 4,LAA,@,SEA,L2-11,GS-8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.263,.333,.579,.912,3,.80,-0.058,.83,-0.04%,-0.42,2.00,3.00,DH
6,572,6,Apr 5,LAA,@,SEA,W4-3,CG,4,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.286,.400,.571,.971,3,1.10,0.155,1.18,0.10%,1.84,9.00,12.50,DH P
7,573,7,Apr 7,LAA,,TOR,L3-4,CG,4,4,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.320,.414,.600,1.014,3,1.01,0.158,1.05,0.10%,0.48,8.00,9.00,DH
8,574,8,Apr 8,LAA,,TOR,W9-5,CG,4,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.321,.424,.607,1.031,3,.73,0.123,.75,0.08%,1.27,9.00,12.20,DH
9,575,9,Apr 9,LAA,,TOR,L11-12,CG(10),6,5,3,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.333,.436,.667,1.103,3,2.44,-0.166,2.57,-0.11%,1.25,25.00,34.60,DH
10,576,10,Apr 10,LAA,,WSN,L4-6,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.306,.419,.611,1.030,3,1.18,-0.092,1.13,-0.05%,-0.88,2.00,3.00,DH
11,577,11,Apr 11,LAA,,WSN,W2-0,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.404,.575,.979,3,.89,0.042,.84,0.02%,0.11,3.00,3.00,DH P
12,578,13 (1),Apr 14,LAA,@,BOS,L3-5,CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.295,.404,.545,.949,3,1.11,-0.074,1.16,-0.05%,-0.68,7.00,9.20,DH
13,579,14,Apr 15,LAA,@,BOS,L7-9,CG,5,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.313,.411,.542,.952,3,1.37,0.214,1.35,0.13%,1.48,10.00,12.70,DH
14,580,15,Apr 16,LAA,@,BOS,L1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.383,.500,.883,3,1.18,-0.124,1.13,-0.07%,-0.74,0.00,0.00,DH
